#,Gym,City / Area,Public contact email / best contact
1,The Gym Jax / Dynamic Fitness,Jacksonville,info@thegymjax.com
2,Iron House Gym,Jacksonville,ironhousejacksonville@gmail.com
3,Florida Extreme Fitness Center,Jacksonville,floridaextremefitness@gmail.com
4,Crunch Fitness,Jacksonville,info@crunchregencypark.com 
5,LA Fitness,Jacksonville,
6,Snap Fitness,Jacksonville,jacksonvillefl@snapfitness.com
7,Chuze Fitness,St. Augustine,info@chuzefitness.com
8,Planet Fitness,Jacksonville,
9,First Coast YMCA,Jacksonville / Northeast FL,
10,TitanUp Fitness,Jacksonville Beach / Nocatee,
11,Duval Boxing and Fitness Club,Jacksonville,info@duvalboxingandfitnessclub.com
12,TITLE Boxing Club,Jacksonville,Jacksonville@titleboxingclub.com
13,Trinity Fitness Riverside,Jacksonville,Jenn@TRINITYFITNESS.ORG
14,Jeff’s Gym,Jacksonville,info@jeffsgymjax.com
15,Funkytown Fitness,St. Augustine,info@funkytownfit.com
16,AMP Hardcore Gym,St. Augustine,amphardcore1@gmail.com
17,Better Bodies Health & Fitness,St. Augustine,Brandon@betterbodiesfit.com / Tracy@betterbodiesfit.com
18,DRīV Fitness,St. Augustine,coach@drivfitness.com
19,Club 14 Fitness,Fernandina Beach,info@Club14Fitness.com
20,Local Roots Fitness,Fernandina Beach,john@localrootsfitness.com
1,Equinox,Brickell / South Beach,concierge@equinox.com
2,Anatomy Fitness,Miami Beach / Midtown / Doral / Aventura,memberservices@anatomyfitness.com
3,Life Time,Coral Gables,No direct local email found — use contact form or call 786-437-4400
4,LA Fitness,Brickell / Coral Gables / Miami,No direct local email found — replies from form may come from contactus@fitnessintl.com
5,Planet Fitness,Miami,No direct local email found — use Planet Fitness contact page or contact home club
6,YouFit Gyms,Miami / Coral Gables / Kendall,info@youfit.com
7,Crunch Fitness,Doral / Miami area,info@crunchdoral.com
8,Elev8tion Fitness,Midtown / North Miami,info@elev8tionfitness.com
9,UFC Gym,Midtown Miami,renaldo.roberson@ufcfit.com; general: contact@ufcgym.com
10,Amped Fitness,Doral,doral@ampedfitness.com
11,LEGACY Fit,Wynwood / Doral / Kendall / Little River,support@legacyfit.com
12,Peak 360 Fitness,South Miami,gtrinidad@peak360fitness.com
13,CrossFit Wynwood,Little River / Miami,info@crossfitwynwood.com
14,CrossFit MIA,Kendall / South Miami,charles@crossfitmia.com
15,Rock Fitness,Doral,reception@rockfitness.live
16,Club Studio Miami Worldcenter,Downtown Miami,info@clubstudiofitness.com; form replies may come from contactus@fitnessintl.com
17,Barry’s,Miami Beach / Midtown,General contact form; Miami Beach hiring contact: r.lewis@barrysmiami.com
18,Orangetheory Fitness,Downtown Miami / Vizcayne,studiomanager0026@orangetheoryfitness.com
19,F45 Training South Pointe Miami,Miami Beach,southpointemiami@f45training.com
20,SWEAT440,Brickell / Miami Beach / Midtown,No current direct email verified — use 888-507-9328 or studio page/contact flow
